case,scale,lambda_urllc,lambda_embb,mu_r,mu_b,urlcc_p95_mean,embb_p95_mean,urlcc_loss_mean,embb_loss_mean,urlcc_mean_delay,embb_mean_delay,urlcc_violation_prob_1ms
Balanced,0.5,100.0,1500.0,5000.0,10000.0,0.0008913337788159922,0.0010109580843402455,0.0,0.0,0.0003658678224507496,0.00039551743211638853,0.03134264186313389
Balanced,0.6,120.0,1800.0,5000.0,10000.0,0.0009178317713262624,0.0011053897929152786,0.0,0.0,0.0003791956850919682,0.00042749284532676856,0.03552309540562245
Balanced,0.7,140.0,2100.0,5000.0,10000.0,0.0009407016146983336,0.0012238866561500746,0.0,0.0,0.0003918864388403065,0.00046675302223039806,0.039177643342393625
Balanced,0.8,160.0,2400.0,5000.0,10000.0,0.0009623893832962427,0.001377525365552259,0.0,0.0,0.000405982191020538,0.0005170580359520349,0.042709962186867435
Balanced,0.8999999999999999,179.99999999999997,2699.9999999999995,5000.0,10000.0,0.0009860096779028638,0.0015732895780206486,0.0,0.0,0.00041959284572687123,0.0005816558757106881,0.047305415762595684
Balanced,1.0,200.0,3000.0,5000.0,10000.0,0.001007661666245418,0.0018436717936939479,0.0,0.0,0.0004334762315821656,0.0006704801245419409,0.05150737761039777
Balanced,1.1,220.00000000000003,3300.0000000000005,5000.0,10000.0,0.001025117280620691,0.002224478042195698,0.0,0.0,0.0004471725519835849,0.0007969168549762332,0.05525050510349133
Balanced,1.2,240.0,3600.0,5000.0,10000.0,0.0010430525284824909,0.0028146578258176533,0.0,0.0,0.0004611502848355999,0.000993606835052506,0.05932250642659244
Balanced,1.2999999999999998,259.99999999999994,3899.9999999999995,5000.0,10000.0,0.0010617133490224261,0.0038721251559801564,0.0,0.0,0.0004753069672660738,0.0013448052552739943,0.06378263654806629
Balanced,1.4,280.0,4200.0,5000.0,10000.0,0.0010781416249345452,0.006231229180896022,2.872222964193895e-06,3.537252921552682e-06,0.0004895852982548548,0.0021296647680074414,0.0681198204966922
Radio-limited,0.5,100.0,1500.0,3500.0,12000.0,0.0012652071499194757,0.0016970456802233968,0.0,0.0,0.0005036607361996236,0.0006152121973101011,0.10600338524526143
Radio-limited,0.6,120.0,1800.0,3500.0,12000.0,0.0013070357199464408,0.002044480108689299,0.0,0.0,0.0005308841320921281,0.0007277611523305462,0.11857653792652953
Radio-limited,0.7,140.0,2100.0,3500.0,12000.0,0.0013512505695172192,0.0025629497261529708,0.0,0.0,0.0005600860148757458,0.0008979349632468062,0.133042602000273
Radio-limited,0.8,160.0,2400.0,3500.0,12000.0,0.0013932555590340455,0.003420633121884932,0.0,0.0,0.0005884800182628032,0.001181826594660113,0.1464566364177724
Radio-limited,0.8999999999999999,179.99999999999997,2699.9999999999995,3500.0,12000.0,0.0014274312116784136,0.005170298854888244,0.0,0.0,0.0006162638642201878,0.001763354562443473,0.1596367860497425
Radio-limited,1.0,200.0,3000.0,3500.0,12000.0,0.001462603039046328,0.010574279207506065,1.2048347250550479e-05,1.3449179558206758e-05,0.0006451899058304152,0.003577230523286451,0.17410312764143182
Radio-limited,1.1,220.00000000000003,3300.0000000000005,3500.0,12000.0,0.0014914087364989819,0.030524515070590695,0.013101256877068545,0.01298509957557264,0.0006713316460653478,0.016903154726827095,0.18678775510634552
Radio-limited,1.2,240.0,3600.0,3500.0,12000.0,0.0014879458680488384,0.03386298613150735,0.0880534758208314,0.08805375648307683,0.0006714242610755788,0.02734993349646341,0.18619998323578552
Radio-limited,1.2999999999999998,259.99999999999994,3899.9999999999995,3500.0,12000.0,0.001488709632188829,0.03456038586112705,0.15904199247355863,0.1590089029927608,0.0006707942987804938,0.028920179216681496,0.18615281622912683
Radio-limited,1.4,280.0,4200.0,3500.0,12000.0,0.0014826852367090732,0.03481971546518412,0.21857231319982,0.218389430239689,0.0006690805099516266,0.029419230431761985,0.18500608377193398
Backhaul-limited,0.5,100.0,1500.0,7000.0,4000.0,0.0010116838396711353,0.0010410167672881166,0.0,0.0,0.00042568860981844045,0.00043579236046088955,0.05233765193840515
Backhaul-limited,0.6,120.0,1800.0,7000.0,4000.0,0.001022661604023227,0.0010681667935600102,0.0,0.0,0.00043349424776073205,0.00044777898322697463,0.05441484977437046
Backhaul-limited,0.7,140.0,2100.0,7000.0,4000.0,0.0010302240000519796,0.0010988630756884183,0.0,0.0,0.000438599112467292,0.0004612964774823404,0.05602630444980301
Backhaul-limited,0.8,160.0,2400.0,7000.0,4000.0,0.001041704333195561,0.0011351849373000974,0.0,0.0,0.00044564499158193346,0.0004770726215473981,0.05869202688835197
Backhaul-limited,0.8999999999999999,179.99999999999997,2699.9999999999995,7000.0,4000.0,0.0010537875453603006,0.0011801504946205373,0.0,0.0,0.00045310430328746753,0.000495504878115436,0.0611283959851955
Backhaul-limited,1.0,200.0,3000.0,7000.0,4000.0,0.0010637286625784534,0.001231400580904882,0.0,0.0,0.00046023402267689716,0.0005166558272082622,0.06341107616357947
Backhaul-limited,1.1,220.00000000000003,3300.0000000000005,7000.0,4000.0,0.0010716511723302344,0.0012951067794196368,0.0,0.0,0.0004670465029050731,0.0005420203259278236,0.06572935962130609
Backhaul-limited,1.2,240.0,3600.0,7000.0,4000.0,0.0010845370697971108,0.001375328327269529,0.0,0.0,0.0004739675552136763,0.000572801984745383,0.06837123635973222
Backhaul-limited,1.2999999999999998,259.99999999999994,3899.9999999999995,7000.0,4000.0,0.0010927047736423742,0.0014707778626275258,0.0,0.0,0.0004813897520988783,0.0006097203581483239,0.07075461163825668
Backhaul-limited,1.4,280.0,4200.0,7000.0,4000.0,0.0011010941018060189,0.0015981163643966176,0.0,0.0,0.0004880048620647299,0.0006567488934289654,0.07308195861348994
Fast-both,0.5,100.0,1500.0,8000.0,14000.0,0.0005377796200831719,0.0005640913855253337,0.0,0.0,0.00022152690796236788,0.000227933727813491,0.001828115087175685
Fast-both,0.6,120.0,1800.0,8000.0,14000.0,0.000550898963640378,0.000588159162070143,0.0,0.0,0.00022710672701321575,0.00023642548190442418,0.0020985403189130924
Fast-both,0.7,140.0,2100.0,8000.0,14000.0,0.0005623671001127704,0.0006148487954794389,0.0,0.0,0.00023244494342362535,0.00024564566291512954,0.002452949620240602
Fast-both,0.8,160.0,2400.0,8000.0,14000.0,0.0005712733403011325,0.0006460638873550904,0.0,0.0,0.00023735800343784242,0.00025630602277224864,0.0025898867837560284
Fast-both,0.8999999999999999,179.99999999999997,2699.9999999999995,8000.0,14000.0,0.0005812417074808706,0.0006803947612334049,0.0,0.0,0.00024253555450835703,0.000268071611551348,0.0028600300841244938
Fast-both,1.0,200.0,3000.0,8000.0,14000.0,0.0005904421574981453,0.0007217531517635933,0.0,0.0,0.0002475118133232759,0.0002819798616661933,0.0029751896732589647
Fast-both,1.1,220.00000000000003,3300.0000000000005,8000.0,14000.0,0.0005997205676125714,0.0007677806220632275,0.0,0.0,0.0002528496520788875,0.00029732877383150004,0.0034030389471578215
Fast-both,1.2,240.0,3600.0,8000.0,14000.0,0.0006088709920724166,0.0008224300688499397,0.0,0.0,0.00025811423192712544,0.00031542552211514694,0.0035493589917138376
Fast-both,1.2999999999999998,259.99999999999994,3899.9999999999995,8000.0,14000.0,0.0006183945629637665,0.0008853544611935766,0.0,0.0,0.00026349659038463793,0.0003363679643667429,0.003804742227318111
Fast-both,1.4,280.0,4200.0,8000.0,14000.0,0.0006266621254929561,0.0009601074310224786,0.0,0.0,0.0002689482063322641,0.0003609616345466457,0.0040713553316008315
